country,region,year,"Children out of school, primary","Children out of school, primary, female","Children out of school, primary, male",Primary school completion (% of girls),"Primary completion rate, male (% of relevant age group)","Primary completion rate, total (% of relevant age group)","Expenditure per student, primary (% of GDP per capita)","Expenditure per student, secondary (% of GDP per capita)","Expenditure per student, tertiary (% of GDP per capita)",Youth (15-24) literacy rate (%). Female,Youth (15-24) literacy rate (%). Male,Youth (15-24) literacy rate (%). Total,Adult (15+) literacy rate (%). Male,Adult (15+) literacy rate (%). Total,Ratio of girls to boys in primary and secondary education (%),Education aid (% of total aid),Ratio of young literate females to males (% ages 15-24),Mean years in school (men 25 years old and older),Mean year in School (between 28 and 34 years old ),"Mean years in school (Women of reproductive age, from 15 to 44 years old)",Mean years in school (women 25 and older),Mean years in school (between 25 and 34 years old),Mean years in school ( women aged 25 to 34 as % men of same age)
Cote d'Ivoire,Western Africa,1975,NA,NA,NA,NA,NA,41.63718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,2.4,0.8,0.3,0.8,34.7826086956522
Cote d'Ivoire,Western Africa,1976,NA,NA,NA,29.68617,60.88185,45.28798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,2.5,0.9,0.3,0.8,33.3333333333333
Cote d'Ivoire,Western Africa,1977,589841,356125,233716,32.45167,64.59903,48.55138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.7,0.9,0.4,0.8,32
Cote d'Ivoire,Western Africa,1978,NA,NA,NA,33.89691,64.4787,49.21575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.8,1,0.4,0.9,34.6153846153846
Cote d'Ivoire,Western Africa,1979,NA,NA,NA,35.07489,66.92714,51.01931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,2.9,1,0.4,1,37.037037037037
Cote d'Ivoire,Western Africa,1980,NA,NA,NA,37.62163,69.34645,53.48446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,3,1.1,0.4,1,35.7142857142857
Cote d'Ivoire,Western Africa,1981,NA,NA,NA,41.18149,72.84652,56.9957,NA,NA,NA,NA,NA,NA,NA,NA,62.259,NA,NA,1.8,3.1,1.2,0.5,1.1,37.9310344827586
Cote d'Ivoire,Western Africa,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,3.2,1.2,0.5,1.2,40
Cote d'Ivoire,Western Africa,1983,NA,NA,NA,38.89532,69.18116,54.03464,NA,NA,NA,NA,NA,NA,NA,NA,63.555,NA,NA,1.9,3.4,1.3,0.5,1.2,37.5
Cote d'Ivoire,Western Africa,1984,NA,NA,NA,37.60439,67.09236,52.33548,NA,NA,NA,NA,NA,NA,NA,NA,64.53,NA,NA,2,3.5,1.4,0.6,1.3,39.3939393939394
Cote d'Ivoire,Western Africa,1985,NA,NA,NA,34.09875,55.46231,44.7615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,3.6,1.5,0.6,1.4,40
Cote d'Ivoire,Western Africa,1986,NA,NA,NA,33.28092,57.6697,45.44548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,3.8,1.6,0.6,1.5,41.6666666666667
Cote d'Ivoire,Western Africa,1987,NA,NA,NA,33.84208,55.90153,44.85895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,3.9,1.6,0.7,1.6,43.2432432432432
Cote d'Ivoire,Western Africa,1988,NA,NA,NA,33.29054,57.05344,45.1649,NA,NA,NA,37.8459415262168,59.9322473326818,48.5084766479655,44.3635384514439,34.1392783603934,NA,NA,63.1478764948281,2.3,4,1.7,0.7,1.7,44.7368421052632
Cote d'Ivoire,Western Africa,1989,NA,NA,NA,32.4251,52.03335,42.22423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,4.1,1.8,0.8,1.8,46.1538461538462
Cote d'Ivoire,Western Africa,1990,NA,NA,NA,30.34895,50.0441,40.19075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,4.2,1.9,0.8,1.9,47.5
Cote d'Ivoire,Western Africa,1991,1156205,NA,NA,31.7976,53.86786,42.82503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,4.3,1.9,0.9,2,47.6190476190476
Cote d'Ivoire,Western Africa,1992,1184381,NA,NA,29.74529,49.68767,39.71772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,4.4,2,0.9,2.1,48.8372093023256
Cote d'Ivoire,Western Africa,1993,NA,NA,NA,30.79487,50.84183,40.82524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,4.5,2.1,1,2.2,50
Cote d'Ivoire,Western Africa,1994,NA,NA,NA,31.58212,49.78484,40.69138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,4.6,2.2,1,2.2,48.8888888888889
Cote d'Ivoire,Western Africa,1995,NA,NA,NA,30.46414,48.18253,39.32913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.9,4.7,2.3,1.1,2.3,50
Cote d'Ivoire,Western Africa,1996,1133393,657998,475395,31.60242,50.00053,40.80259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4.8,2.3,1.1,2.4,51.063829787234
Cote d'Ivoire,Western Africa,1997,1122843,656892,465951,32.04085,51.58704,41.82076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,4.9,2.4,1.2,2.5,52.0833333333333
Cote d'Ivoire,Western Africa,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.8490945858377,54.4031292891158,47.0587129378413,43.9464204978041,36.3502420108432,NA,NA,73.2477986221468,3.1,5,2.5,1.2,2.6,53.0612244897959
Cote d'Ivoire,Western Africa,1999,1097454,650310,447144,NA,NA,41.95327,14.29852,41.29376,141.04519,NA,NA,NA,NA,NA,69.034,NA,NA,3.2,5.1,2.6,1.3,2.7,54
Cote d'Ivoire,Western Africa,2e3,1129244,676628,452616,33.013420000000004,52.34217,42.69017,13.51022,33.28921,133.66546,52.1251673360107,70.8407166765111,60.7236544549977,60.8606557377049,48.7407620004305,69.277,NA,73.5949419050318,3.3,5.2,2.7,1.3,2.8,54.9019607843137
Cote d'Ivoire,Western Africa,2001,1019449,624400,395049,38.83779,59.08823,48.97481,13.56623,NA,NA,NA,NA,NA,NA,NA,70.607,NA,NA,3.4,5.3,2.8,1.4,2.9,55.7692307692308
Cote d'Ivoire,Western Africa,2002,1024134,641248,382886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.551,NA,NA,3.5,5.4,2.8,1.5,3,56.6037735849057
Cote d'Ivoire,Western Africa,2003,1125145,652911,472234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,5.5,2.9,1.5,3.1,58.4905660377358
Cote d'Ivoire,Western Africa,2004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,5.5,3,1.6,3.2,59.2592592592592
Cote d'Ivoire,Western Africa,2005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,5.6,3.1,1.7,3.2,58.1818181818182
Cote d'Ivoire,Western Africa,2006,NA,NA,NA,34.669,56.43557,45.56969,NA,NA,106.80833,NA,NA,NA,NA,NA,NA,NA,NA,3.9,5.7,3.2,1.7,3.3,58.9285714285714
Cote d'Ivoire,Western Africa,2007,NA,NA,NA,38.87391,56.23429,47.57026,NA,NA,110.32377,NA,NA,NA,NA,NA,NA,NA,NA,3.9,5.8,3.2,1.8,3.4,60.7142857142857
Cote d'Ivoire,Western Africa,2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5.8,3.3,1.9,3.5,61.4035087719298
Cote d'Ivoire,Western Africa,2009,1160732,663809,496923,41.44459,58.18158,49.83237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.5523781076562,4.1,5.9,3.4,2,3.6,63.1578947368421
Cote d'Ivoire,Western Africa,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cote d'Ivoire,Western Africa,2011,NA,NA,NA,52.21832,64.93459,58.5917,NA,NA,NA,62.74958,72.29478,67.52731,65.64127,56.86751,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,Eastern Africa,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,Eastern Africa,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,Eastern Africa,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,Eastern Africa,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,Eastern Africa,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,Eastern Africa,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,Eastern Africa,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,Eastern Africa,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,Eastern Africa,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,Eastern Africa,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,Eastern Africa,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,2.8,0.5,0.2,0.4,16
Djibouti,Eastern Africa,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.626,NA,NA,1.6,2.9,0.5,0.2,0.5,19.2307692307692
Djibouti,Eastern Africa,1972,NA,NA,NA,10.93321,27.33119,19.11529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,3,0.5,0.3,0.5,18.5185185185185
Djibouti,Eastern Africa,1973,NA,NA,NA,11.9211,26.82717,19.36453,NA,NA,NA,NA,NA,NA,NA,NA,49.076,NA,NA,1.8,3.1,0.6,0.3,0.5,17.8571428571429
Djibouti,Eastern Africa,1974,NA,NA,NA,11.70595,26.93077,19.31228,NA,NA,NA,NA,NA,NA,NA,NA,52.391,NA,NA,1.8,3.2,0.6,0.3,0.6,20.6896551724138
Djibouti,Eastern Africa,1975,NA,NA,NA,13.57249,25.86016,19.71518,NA,NA,NA,NA,NA,NA,NA,NA,54.121,NA,NA,1.9,3.4,0.6,0.3,0.6,20
Djibouti,Eastern Africa,1976,NA,NA,NA,11.70249,25.5116,18.60822,NA,NA,NA,NA,NA,NA,NA,NA,51.47,NA,NA,2,3.5,0.7,0.3,0.6,18.75
Djibouti,Eastern Africa,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,3.6,0.7,0.3,0.7,21.2121212121212
Djibouti,Eastern Africa,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,3.7,0.8,0.4,0.7,20.5882352941176
Djibouti,Eastern Africa,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,3.8,0.8,0.4,0.8,22.8571428571429
Djibouti,Eastern Africa,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,4,0.9,0.4,0.8,21.6216216216216
Djibouti,Eastern Africa,1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,4.1,0.9,0.4,0.8,21.0526315789474
Djibouti,Eastern Africa,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.934,NA,NA,2.4,4.2,1,0.4,0.9,23.0769230769231
Djibouti,Eastern Africa,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.323,NA,NA,2.5,4.3,1,0.5,0.9,22.5
Djibouti,Eastern Africa,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.599,NA,NA,2.6,4.5,1.1,0.5,1,24.390243902439
Djibouti,Eastern Africa,1985,46781,24494,22287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.381,NA,NA,2.7,4.6,1.1,0.5,1.1,25.5813953488372
Djibouti,Eastern Africa,1986,47144,24939,22205,NA,NA,27.60542,NA,NA,NA,NA,NA,NA,NA,NA,69.374,NA,NA,2.8,4.7,1.2,0.5,1.1,25
Djibouti,Eastern Africa,1987,49829,26490,23339,NA,NA,31.53316,NA,NA,NA,NA,NA,NA,NA,NA,70.697,NA,NA,2.9,4.9,1.3,0.6,1.2,26.0869565217391
Djibouti,Eastern Africa,1988,53882,28508,25374,NA,NA,30.24238,NA,NA,NA,NA,NA,NA,NA,NA,71.86,NA,NA,3,5,1.3,0.6,1.2,25.531914893617
Djibouti,Eastern Africa,1989,58491,30757,27734,NA,NA,34.14078,NA,NA,NA,NA,NA,NA,NA,NA,72.244,NA,NA,3.1,5.2,1.4,0.6,1.3,26.530612244898
Djibouti,Eastern Africa,1990,62588,32730,29858,NA,NA,32.00828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,5.3,1.5,0.7,1.4,28
Djibouti,Eastern Africa,1991,66473,NA,NA,NA,NA,26.93037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3,5.5,1.6,0.7,1.5,28.8461538461538
Djibouti,Eastern Africa,1992,68344,35911,32433,NA,NA,29.01604,NA,NA,NA,NA,NA,NA,NA,NA,71.431,NA,NA,3.4,5.6,1.7,0.7,1.6,30.188679245283
Djibouti,Eastern Africa,1993,72547,37571,34976,NA,NA,25.19089,NA,NA,NA,NA,NA,NA,NA,NA,77.604,NA,NA,3.5,5.7,1.8,0.8,1.6,29.0909090909091
Djibouti,Eastern Africa,1994,72974,37859,35115,NA,NA,27.48077,NA,NA,NA,NA,NA,NA,NA,NA,76.525,NA,NA,3.6,5.9,1.9,0.8,1.7,30.3571428571429
Djibouti,Eastern Africa,1995,72959,37925,35034,NA,NA,29.01948,NA,NA,NA,NA,NA,NA,NA,NA,75.337,NA,NA,3.7,6,2,0.9,1.8,31.0344827586207
Djibouti,Eastern Africa,1996,74190,38838,35352,NA,NA,26.77239,NA,NA,NA,NA,NA,NA,NA,NA,74.416,NA,NA,3.8,6.2,2.1,0.9,1.9,32.2033898305085
Djibouti,Eastern Africa,1997,77457,40473,36984,NA,NA,24.86188,NA,NA,NA,NA,NA,NA,NA,NA,73.49,NA,NA,3.9,6.3,2.2,1,2,32.7868852459016
Djibouti,Eastern Africa,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6.4,2.3,1,2.1,33.8709677419355
Djibouti,Eastern Africa,1999,83825,44100,39725,19.69409,28.73019,24.24494,NA,NA,NA,NA,NA,NA,NA,NA,71.4,NA,NA,4.1,6.6,2.4,1.1,2.2,34.375
Djibouti,Eastern Africa,2e3,86834,45284,41550,22.56432,32.88427,27.76234,NA,NA,NA,NA,NA,NA,NA,NA,70.985,NA,NA,4.2,6.7,2.5,1.1,2.4,36.9230769230769
Djibouti,Eastern Africa,2001,86396,45205,41191,21.71775,32.11009,26.95223,NA,NA,NA,NA,NA,NA,NA,NA,70.676,NA,NA,4.3,6.8,2.6,1.2,2.5,37.8787878787879
Djibouti,Eastern Africa,2002,86649,45345,41304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.516,NA,NA,4.5,7,2.7,1.2,2.6,38.2352941176471
Djibouti,Eastern Africa,2003,85163,44680,40483,27.73033,37.64601,32.72501,NA,NA,NA,NA,NA,NA,NA,NA,73.502,NA,NA,4.6,7.1,2.8,1.3,2.7,39.1304347826087
Djibouti,Eastern Africa,2004,83202,43632,39570,27.05056,37.7559,32.44292,NA,NA,NA,NA,NA,NA,NA,NA,75.272,NA,NA,4.7,7.2,3,1.4,2.8,40
Djibouti,Eastern Africa,2005,80645,42230,38415,26.63336,35.12445,30.9113,NA,NA,NA,NA,NA,NA,NA,NA,75.629,NA,NA,4.8,7.3,3.1,1.5,3,41.6666666666667
Djibouti,Eastern Africa,2006,75865,39959,35906,31.41961,39.09687,35.28754,22.2972,NA,NA,NA,NA,NA,NA,NA,75.833,NA,NA,4.9,7.5,3.2,1.5,3.1,42.4657534246575
Djibouti,Eastern Africa,2007,71065,37255,33810,NA,NA,NA,23.67791,NA,NA,NA,NA,NA,NA,NA,79.441,NA,NA,5,7.6,3.4,1.6,3.3,44.5945945945946
Djibouti,Eastern Africa,2008,55498,28829,26669,37.30808,46.07757,41.72644,24.63196,33.10959,NA,NA,NA,NA,NA,NA,79.987,NA,NA,5.2,7.7,3.5,1.7,3.4,45.3333333333333
Djibouti,Eastern Africa,2009,56443,29174,27269,34.03744,37.08851,35.57487,NA,NA,NA,NA,NA,NA,NA,NA,81.712,NA,NA,5.3,7.8,3.6,1.8,3.6,46.7532467532468
Djibouti,Eastern Africa,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,Eastern Africa,2011,49526,26068,23458,44.8732,46.6484,45.76798,NA,NA,NA,NA,NA,NA,NA,NA,85.202,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,Northern Africa,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,Northern Africa,1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,Northern Africa,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,Northern Africa,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,Northern Africa,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,Northern Africa,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,Northern Africa,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,Northern Africa,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,Northern Africa,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,Northern Africa,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Egypt,Northern Africa,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,4.5,1.8,0.9,1.7,40.4761904761905
Egypt,Northern Africa,1971,2409903,1583693,826210,37.12497,65.48758,51.51545,NA,NA,NA,NA,NA,NA,NA,NA,58.471,NA,NA,2.8,4.7,1.9,1,1.8,40.9090909090909
Egypt,Northern Africa,1972,2429949,1607470,822479,35.13927,61.52082,48.52522,NA,NA,NA,NA,NA,NA,NA,NA,58.722,NA,NA,2.9,4.8,2,1.1,2,43.4782608695652
Egypt,Northern Africa,1973,2483104,1642253,840851,37.60921,65.41707,51.72266,NA,NA,NA,NA,NA,NA,NA,NA,58.99,NA,NA,3,5,2.1,1.1,2.1,44.6808510638298
Egypt,Northern Africa,1974,NA,NA,NA,39.85307,67.104,53.68942,NA,NA,NA,NA,NA,NA,NA,NA,59.493,NA,NA,3.2,5.2,2.2,1.2,2.2,44.8979591836735
Egypt,Northern Africa,1975,NA,NA,NA,41.55335,70.63552,56.32574,NA,NA,NA,NA,NA,NA,NA,NA,59.112,NA,NA,3.3,5.4,2.4,1.3,2.4,47.0588235294118
Egypt,Northern Africa,1976,NA,NA,NA,42.88339,71.54734,57.44884,NA,NA,NA,38.1226441031404,63.0406821839436,51.0311641692137,53.6151947448609,38.1967645625644,60.388,NA,60.4730830670646,3.4,5.6,2.5,1.4,2.5,47.1698113207547
Egypt,Northern Africa,1977,NA,NA,NA,43.01475,71.93489,57.70856,NA,NA,NA,NA,NA,NA,NA,NA,61.411,NA,NA,3.6,5.8,2.6,1.4,2.7,49.0909090909091
Egypt,Northern Africa,1978,2608729,1698195,910534,33.80701,66.69435,50.51963,NA,NA,NA,NA,NA,NA,NA,NA,62.18,NA,NA,3.7,5.9,2.8,1.5,2.8,49.1228070175439
Egypt,Northern Africa,1979,NA,NA,NA,21.74278,45.36134,33.75225,NA,NA,NA,NA,NA,NA,NA,NA,63.544,NA,NA,3.8,6.1,2.9,1.6,3,51.7241379310345
Egypt,Northern Africa,1980,NA,NA,NA,33.72564,52.71031,43.38626,NA,NA,NA,NA,NA,NA,NA,NA,64.258,NA,NA,3.9,6.3,3.1,1.7,3.1,51.6666666666667
Egypt,Northern Africa,1981,NA,NA,NA,40.41956,62.39533,51.60947,NA,NA,NA,NA,NA,NA,NA,NA,65.972,NA,NA,4.1,6.5,3.2,1.8,3.3,53.2258064516129
Egypt,Northern Africa,1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.419,NA,NA,4.2,6.7,3.4,1.9,3.5,54.6875
Egypt,Northern Africa,1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.07,NA,NA,4.4,6.8,3.6,2,3.6,54.5454545454545
Egypt,Northern Africa,1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.954,NA,NA,4.5,7,3.7,2.1,3.8,55.8823529411765
Egypt,Northern Africa,1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.809,NA,NA,4.6,7.2,3.9,2.2,4,57.9710144927536
Egypt,Northern Africa,1986,NA,NA,NA,57.13183,79.10503,68.31851,NA,NA,NA,54.0046575341809,71.3806751468622,63.3276157842555,56.976159662657,44.4239933168487,74.565,NA,75.6572523628685,4.8,7.3,4,2.3,4.1,57.7464788732394
Egypt,Northern Africa,1987,NA,NA,NA,NA,NA,68.9208,NA,NA,NA,NA,NA,NA,NA,NA,76.058,NA,NA,4.9,7.5,4.2,2.4,4.3,58.9041095890411
Egypt,Northern Africa,1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.252,NA,NA,5.1,7.6,4.4,2.5,4.5,60.8108108108108
Egypt,Northern Africa,1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.749,NA,NA,5.2,7.8,4.5,2.6,4.7,61.8421052631579
Egypt,Northern Africa,1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.42,NA,NA,5.3,7.9,4.7,2.7,4.9,63.6363636363636
Egypt,Northern Africa,1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.049,NA,NA,5.5,8.1,4.9,2.8,5,63.2911392405063
Egypt,Northern Africa,1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.216,NA,NA,5.6,8.2,5,2.9,5.2,65
Egypt,Northern Africa,1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.899,NA,NA,5.8,8.4,5.2,3.1,5.4,65.8536585365854
Egypt,Northern Africa,1994,1008343,775197,233146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.713,NA,NA,5.9,8.5,5.4,3.2,5.6,67.4698795180723
Egypt,Northern Africa,1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.163,NA,NA,6,8.6,5.6,3.3,5.8,69.047619047619
Egypt,Northern Africa,1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.931538162473,78.9908726585809,73.2186890694876,67.1517832653418,55.5869966863656,79.931,NA,84.733255767117,6.2,8.7,5.7,3.4,6,69.7674418604651
Egypt,Northern Africa,1997,703678,582473,121205,83.76088,95.70402,89.84785,NA,NA,NA,NA,NA,NA,NA,NA,86.436,NA,NA,6.3,8.9,5.9,3.6,6.2,71.264367816092
Egypt,Northern Africa,1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.5,9,6.1,3.7,6.4,72.7272727272727
Egypt,Northern Africa,1999,673543,470165,203378,91.42031,99.62799,95.60646,NA,NA,NA,NA,NA,NA,NA,NA,91.083,NA,NA,6.6,9.1,6.3,3.9,6.6,74.1573033707865
Egypt,Northern Africa,2e3,605868,418630,187238,90.61387,97.91882,94.34022,NA,NA,NA,NA,NA,NA,NA,NA,92.064,NA,NA,6.7,9.2,6.5,4,6.8,74.7252747252747
Egypt,Northern Africa,2001,506241,352096,154145,89.58169,95.83765,92.77219,NA,NA,NA,NA,NA,NA,NA,NA,92.95,NA,NA,6.9,9.3,6.6,4.1,7,76.0869565217391
Egypt,Northern Africa,2002,399252,281117,118135,91.07228,93.00397,92.05745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,9.4,6.8,4.3,7.1,76.3440860215054
Egypt,Northern Africa,2003,302987,223591,79396,90.68558,95.1508,92.96288,NA,NA,NA,NA,NA,NA,NA,NA,93.926,NA,NA,7.1,9.5,7,4.4,7.3,77.6595744680851
Egypt,Northern Africa,2004,206526,155326,51200,92.90437,96.83217,94.90756,NA,NA,NA,NA,NA,NA,NA,NA,94.649,NA,NA,7.3,9.6,7.1,4.6,7.5,78.9473684210526
Egypt,Northern Africa,2005,267087,257316,9771,92.35781,100.97722,96.75295,NA,NA,NA,78.9499916298171,90.0791155099524,84.9329001850111,83.0175184555892,71.4088636088008,NA,NA,87.6451674540223,7.4,9.7,7.3,4.7,7.7,81.0526315789474
Egypt,Northern Africa,2006,496964,339327,157637,90.12925,93.79192,91.99724,NA,NA,NA,81.7514513128016,87.8567963098747,84.8782741824603,74.6218046099146,66.3699070435487,NA,NA,93.05079942189,7.5,9.8,7.5,4.9,7.9,82.2916666666667
Egypt,Northern Africa,2007,225768,215434,10334,93.27361,98.17595,95.77483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,9.8,7.6,5,8.1,83.5051546391753
